Date,Round,HomeTeam,AwayTeam,Result
2025-06-24,1,Øyvind,Arne,0-1
2025-06-24,1,Magnus,Arne,0-1
2025-06-24,1,Magnus,Øyvind,1-0
2025-06-24,1,Øyvind,Magnus,1-0
2025-06-24,1,Aurora,Magnus,1-0
2025-06-24,1,Aurora,Øyvind,1-0
2025-06-24,1,Magnus,Øyvind,0-1
2025-06-24,1,Magnus,Øyvind,0-1
2025-06-24,1,Magnus,Arne,0-1
2025-06-24,1,Aurora,Arne,1-0
2025-06-24,1,Aurora,Øyvind,1-0
2025-06-24,1,Aurora,Magnus,1-0
2025-06-24,1,Solveig,Arne,0-1
2025-06-24,1,Aurora,Synne,1-0
2025-06-24,1,Aurora,Øyvind,1-0
2025-06-24,1,Aurora,Hilde,1-0
2025-06-24,1,Hilde,Magnus,0-1
2025-06-24,1,Hilde,Øyvind,0-1
2025-06-24,1,Øyvind,Synne,1-0
2025-06-24,1,Magnus,Synne,1-0
2025-06-24,1,Magnus,Øyvind,0-1
2025-06-24,1,Eline,Aurora,0-1
2025-06-24,1,Eline,Øyvind,0-1
2025-06-24,1,Eline,Magnus,1-0
2025-06-25,2,Øyvind,Magnus,0-1
2025-06-25,2,Øyvind,Magnus,0-1
2025-06-25,2,Øyvind,Aurora,0-1
2025-06-25,2,Magnus,Synne,1-0
2025-06-25,2,Magnus,Synne,1-0
2025-06-25,2,Magnus,Synne,1-0
2025-06-25,2,Aurora,Hilde,1-0
2025-06-25,2,Arne,Hilde,1-0
2025-06-25,2,Arne,Hilde,1-0
2025-06-25,2,Solveig,Magnus,0-1
2025-06-25,2,Solveig,Synne,0-1
2025-06-25,2,Solveig,Synne,0-1
2025-06-25,2,Solveig,Synne,0-1
2025-06-25,2,Arne,Solveig,1-0
2025-06-25,2,Øyvind,Solveig,1-0
2025-06-26,3,Magnus,Arne,0-1
2025-06-26,3,Magnus,Solveig,1-0
2025-06-26,3,Øyvind,Solveig,1-0
2025-06-26,3,Øyvind,Magnus,1-0
2025-06-26,3,Øyvind,Synne,1-0
2025-06-26,3,Synne,Eline,1-0
2025-06-26,3,Synne,Magnus,0-1
